station,valid,lon,lat,elevation,tmpf,drct,sped,mslp
DAN,2025-09-30 00:01,-79.3361,36.5729,174.00,67.00,40.00,10.35,M
NFE,2025-09-30 00:10,-76.1356,36.6950,5.00,72.00,50.00,5.75,M
TGI,2025-09-30 00:15,-75.9978,37.8251,1.73,74.30,M,M,M
MTV,2025-09-30 00:15,-80.0133,36.6272,287.00,67.00,40.00,4.60,M
W63,2025-09-30 00:15,-78.5601,36.5958,115.03,66.20,20.00,3.45,M
VBW,2025-09-30 00:15,-78.9603,38.3667,349.15,66.20,0.00,0.00,M
OMH,2025-09-30 00:15,-78.0456,38.2472,142.00,66.20,0.00,0.00,M
BCB,2025-09-30 00:15,-80.4078,37.2076,650.00,64.20,0.00,0.00,M
EMV,2025-09-30 00:15,-77.4827,36.6869,39.00,69.80,0.00,0.00,M
FKN,2025-09-30 00:15,-76.9038,36.6981,12.00,69.30,0.00,0.00,M
FYJ,2025-09-30 00:15,-76.7647,37.5211,7.00,70.00,M,M,M
AVC,2025-09-30 00:15,-78.0545,36.6883,135.00,69.00,20.00,3.45,M
JYO,2025-09-30 00:15,-77.5575,39.0780,119.00,71.60,20.00,3.45,M
LNP,2025-09-30 00:15,-82.5300,36.9875,817.00,68.00,60.00,3.45,M
HWY,2025-09-30 00:15,-77.7106,38.5863,102.00,68.00,0.00,0.00,M
MKJ,2025-09-30 00:15,-81.3499,36.8949,780.00,60.40,130.00,3.45,M
OKV,2025-09-30 00:15,-78.1444,39.1435,222.00,64.40,0.00,0.00,M
CJR,2025-09-30 00:15,-77.8589,38.5267,95.00,70.00,0.00,0.00,M
0VG,2025-09-30 00:15,-83.2178,36.6541,416.00,71.60,30.00,3.45,M
SHD,2025-09-30 00:15,-78.8964,38.2638,366.00,66.70,0.00,0.00,M
JGG,2025-09-30 00:15,-76.7161,37.2392,15.00,M,50.00,4.60,M
EZF,2025-09-30 00:15,-77.4494,38.2662,26.00,M,330.00,5.75,M
RMN,2025-09-30 00:15,-77.4555,38.3981,65.00,70.00,0.00,0.00,M
LKU,2025-09-30 00:15,-77.9700,38.0100,150.00,69.30,10.00,5.75,M
HSP,2025-09-30 00:15,-79.8339,37.9514,1156.00,60.40,80.00,6.90,M
MFV,2025-09-30 00:15,-75.7611,37.6469,15.00,67.60,40.00,4.60,M
VJI,2025-09-30 00:15,-82.0333,36.6871,631.00,64.40,50.00,11.50,M
FVX,2025-09-30 00:15,-78.4378,37.3575,125.00,69.80,10.00,4.60,M
XSA,2025-09-30 00:15,-76.8941,37.8596,41.10,70.30,10.00,3.45,M
JFZ,2025-09-30 00:15,-81.7983,37.0637,808.60,63.50,90.00,4.60,M
CPK,2025-09-30 00:15,-76.3207,36.6656,6.00,72.00,40.00,6.90,M
PTB,2025-09-30 00:15,-77.5074,37.1838,59.00,70.30,50.00,4.60,M
SFQ,2025-09-30 00:15,-76.6019,36.6823,22.00,72.00,M,M,M
PSK,2025-09-30 00:15,-80.6785,37.1373,642.00,63.50,0.00,0.00,M
HLX,2025-09-30 00:15,-80.8236,36.7661,834.00,62.60,0.00,0.00,M
LUA,2025-09-30 00:15,-78.5006,38.6671,275.00,69.80,10.00,3.45,M
W31,2025-09-30 00:15,-78.1850,36.9601,156.78,67.30,350.00,3.45,M
FRR,2025-09-30 00:15,-78.2535,38.9175,212.93,68.00,0.00,0.00,M
W78,2025-09-30 00:15,-78.8480,36.7100,115.14,64.60,10.00,4.60,M
W81,2025-09-30 00:15,-78.0983,37.1810,119.95,67.00,340.00,3.45,M
LVL,2025-09-30 00:15,-77.7943,36.7728,99.51,71.00,20.00,3.45,M
0V4,2025-09-30 00:15,-79.0164,37.1417,178.73,66.20,0.00,0.00,M
GVE,2025-09-30 00:15,-78.1658,38.1560,133.06,68.00,0.00,0.00,M
8W2,2025-09-30 00:15,-78.7081,38.6557,289.74,67.30,0.00,0.00,M
W13,2025-09-30 00:15,-78.9444,38.0769,430.88,67.00,0.00,0.00,M
W96,2025-09-30 00:15,-77.1255,37.5032,34.55,70.00,0.00,0.00,M
W75,2025-09-30 00:15,-76.4467,37.6024,10.81,71.20,20.00,3.45,M
CXE,2025-09-30 00:15,-78.5016,36.7883,148.68,65.00,0.00,0.00,M
TGI,2025-09-30 00:35,-75.9978,37.8251,1.73,74.30,M,M,M
MTV,2025-09-30 00:35,-80.0133,36.6272,287.00,67.00,20.00,5.75,M
W63,2025-09-30 00:35,-78.5601,36.5958,115.03,66.20,20.00,3.45,M
VBW,2025-09-30 00:35,-78.9603,38.3667,349.15,66.00,0.00,0.00,M
OMH,2025-09-30 00:35,-78.0456,38.2472,142.00,66.20,0.00,0.00,M
BCB,2025-09-30 00:35,-80.4078,37.2076,650.00,64.60,0.00,0.00,M
EMV,2025-09-30 00:35,-77.4827,36.6869,39.00,69.30,0.00,0.00,M
FKN,2025-09-30 00:35,-76.9038,36.6981,12.00,69.00,10.00,3.45,M
FYJ,2025-09-30 00:35,-76.7647,37.5211,7.00,69.80,M,M,M
AVC,2025-09-30 00:35,-78.0545,36.6883,135.00,69.00,10.00,3.45,M
JYO,2025-09-30 00:35,-77.5575,39.0780,119.00,71.60,20.00,3.45,M
LNP,2025-09-30 00:35,-82.5300,36.9875,817.00,68.00,0.00,0.00,M
HWY,2025-09-30 00:35,-77.7106,38.5863,102.00,68.00,0.00,0.00,M
MKJ,2025-09-30 00:35,-81.3499,36.8949,780.00,60.40,110.00,4.60,M
OKV,2025-09-30 00:35,-78.1444,39.1435,222.00,64.40,0.00,0.00,M
CJR,2025-09-30 00:35,-77.8589,38.5267,95.00,69.80,0.00,0.00,M
0VG,2025-09-30 00:35,-83.2178,36.6541,416.00,69.80,0.00,0.00,M
SHD,2025-09-30 00:35,-78.8964,38.2638,366.00,67.00,0.00,0.00,M
JGG,2025-09-30 00:35,-76.7161,37.2392,15.00,M,0.00,0.00,M
EZF,2025-09-30 00:35,-77.4494,38.2662,26.00,M,350.00,3.45,M
RMN,2025-09-30 00:35,-77.4555,38.3981,65.00,69.40,350.00,4.60,M
LKU,2025-09-30 00:35,-77.9700,38.0100,150.00,69.00,360.00,4.60,M
HSP,2025-09-30 00:35,-79.8339,37.9514,1156.00,60.40,90.00,6.90,M
MFV,2025-09-30 00:35,-75.7611,37.6469,15.00,67.50,40.00,3.45,M
VJI,2025-09-30 00:35,-82.0333,36.6871,631.00,64.40,60.00,11.50,M
FVX,2025-09-30 00:35,-78.4378,37.3575,125.00,69.60,0.00,0.00,M
XSA,2025-09-30 00:35,-76.8941,37.8596,41.10,70.30,0.00,0.00,M
JFZ,2025-09-30 00:35,-81.7983,37.0637,808.60,63.50,100.00,3.45,M
CPK,2025-09-30 00:35,-76.3207,36.6656,6.00,71.80,30.00,6.90,M
PTB,2025-09-30 00:35,-77.5074,37.1838,59.00,70.00,20.00,4.60,M
SFQ,2025-09-30 00:35,-76.6019,36.6823,22.00,71.80,M,M,M
PSK,2025-09-30 00:35,-80.6785,37.1373,642.00,63.50,0.00,0.00,M
HLX,2025-09-30 00:35,-80.8236,36.7661,834.00,62.60,0.00,0.00,M
LUA,2025-09-30 00:35,-78.5006,38.6671,275.00,69.80,0.00,0.00,M
W31,2025-09-30 00:35,-78.1850,36.9601,156.78,68.00,10.00,3.45,M
FRR,2025-09-30 00:35,-78.2535,38.9175,212.93,67.00,0.00,0.00,M
